bout_idx,start_frame,end_frame,n_frames,duration_ms,mean_speed_mm_s,max_speed_mm_s,dominant_z_freq_hz,dominant_z_period_ms,gait_freq_hz,z_oscillation_std_um,z_oscillation_range_um,total_distance_mm
1,13266,13464,199,248.75,26.50568390067905,47.20584162888881,8.080808080808081,123.74999999999999,11.319340629755134,34.856527821723894,132.80557601507238,6.559728789858163
2,43559,44167,609,761.25,6.855934042131769,26.55216561739869,6.25,160.0,5.1565910593359465,30.46124930265328,115.98270184013204,5.195006245081308
3,50586,50784,199,248.75,24.390845633780472,56.199718976898424,8.080808080808081,123.74999999999999,4.0201005025125625,44.13087288680518,192.57018886400346,6.029536149359834
4,79860,80089,230,287.5,25.810099691020735,53.14763209851905,6.956521739130434,143.75000000000003,11.062327961828855,35.77720691534504,170.69300483616124,7.387292610882678
5,107609,107820,212,265.0,23.415042028946772,54.837461587198646,7.547169811320754,132.5,11.883426602555364,25.43913042614763,114.35026387095837,6.194190214077285
6,107949,108079,131,163.75,25.463516141924497,40.46196720804891,12.307692307692307,81.25000000000001,12.378982856121489,32.99760991039393,127.06880053265013,4.137189311163486
7,130478,130597,120,150.0,29.268014275172096,52.500186143556625,13.333333333333334,75.0,6.666666666666667,49.93245028058968,206.65144894611754,4.373026968105617
8,137577,137793,217,271.25,23.24304795733138,54.20525630302142,7.4074074074074066,135.00000000000003,10.91664739310448,23.042066718193443,116.91460486153771,6.28654973477098
9,144833,144959,127,158.75,24.362856872060288,43.712822560911604,12.698412698412698,78.75,6.750920738757812,41.20706375467842,138.95564971891883,3.8438712274571083
10,162274,162718,445,556.25,8.670395293447795,34.66183548120168,7.207207207207206,138.75000000000003,5.387367822302929,52.62130810869022,184.9514030495114,4.811787912748006
11,162727,162943,217,271.25,14.064608655390042,26.353944702432187,7.4074074074074066,135.00000000000003,7.181424331308355,25.171482837911633,101.72005061558842,3.7973317253765666
12,189747,189924,178,222.5,18.090752078636587,34.21296844347169,8.98876404494382,111.24999999999999,9.846884734353326,15.498441128122144,66.12416437284807,4.004058093451046
13,199908,200088,181,226.25,19.74623331208556,41.16521620451546,26.666666666666668,37.5,12.384476075589282,36.48207702038076,138.86339305793348,4.44955334290934
14,213453,213858,406,507.49999999999994,11.579296005982878,30.64938351360958,7.881773399014778,126.87500000000001,7.656385434254927,47.3580530398035,200.234349485632,5.869669435122409
15,243015,243224,210,262.5,23.161160844860692,48.192176086409155,15.238095238095237,65.625,13.692233726590876,21.308028062338934,96.79554025021697,6.059364719941152
16,243289,243511,223,278.75,19.41341130517843,46.27262501510075,7.207207207207206,138.75000000000003,7.173144013750628,27.41837413309963,119.68576457432212,5.404172754997864
17,319784,320016,233,291.25,32.47643630296215,54.83037714417559,34.48275862068966,28.999999999999996,13.203964663595377,30.085029054460787,124.94073271404416,9.429253235930235
18,343104,343296,193,241.25,14.310827806812801,30.283764168463424,8.333333333333334,119.99999999999999,7.811664225869966,27.222992830349394,98.24153834070427,3.444741167496643
19,343664,343866,203,253.74999999999997,11.91959630523665,23.537176860637118,7.920792079207921,126.25,7.768671500084026,15.23760855398398,60.04105929580539,3.0171840440238578
20,380767,380925,159,198.75,16.421680614497358,50.88504505007536,20.253164556962023,49.37500000000001,5.031446540880503,57.67532852892607,249.65318930497514,3.2467601059403144
21,457619,457897,279,348.75,12.153152005728524,31.5013236910621,5.755395683453237,173.75,6.258539737322403,53.27475413673309,188.2418503598864,4.2128362654709965
22,488865,489020,156,195.0,23.225166797464535,38.72038575339405,30.769230769230766,32.5,9.687456201214365,40.09155360635708,174.08063310789657,4.506446646326699
23,523612,524030,419,523.75,11.554851958719114,35.113573517245186,7.6555023923444985,130.62499999999997,3.6375365373579944,62.96641708755904,262.47206175126195,6.026711024486122
24,542443,542695,253,316.25,13.082905429778728,28.08938260670369,12.698412698412698,78.75,9.509271837372935,29.252279192338506,128.41369941338087,4.124179936119633
25,569145,569327,183,228.75,24.436219785122802,42.17868880279302,8.79120879120879,113.75000000000001,12.9456119514551,29.906561211142854,123.18872758734089,5.554931037001049
26,580490,581214,725,906.25,9.518201316198134,47.38261195672675,6.25,160.0,8.186291331623147,41.17269351878352,205.98002045006726,8.615687500274074
27,589893,590033,141,176.25,22.700969867911407,40.118405334122244,11.428571428571427,87.50000000000001,5.673758865248227,32.3514151304928,119.58397340630088,3.9683717889719334
28,777843,778421,579,723.75,12.998012452420618,31.260609116728755,6.25,160.0,10.056556568426428,53.519027042061474,248.0723157679039,9.395329155882814
29,861748,862267,520,650.0,12.428767968869868,35.302587080156215,6.25,160.0,7.633072597928779,56.959289534892854,253.02866045840665,8.06588595663423
30,881738,881943,206,257.5,13.798078405078574,31.31192721198484,7.766990291262136,128.75,10.698217148032404,36.62685265447377,122.02720213324713,3.535730146696414
31,882942,883048,107,133.75,26.362992167017687,47.81451433062558,30.188679245283016,33.125,14.632999691174918,15.260669437609003,58.242596775971876,3.5051480027419646
32,928131,928357,227,283.75,17.60562755764874,37.4850135901404,7.0796460176991145,141.25,9.933443025967566,39.91303927520601,145.35683260969213,4.968302070194612
33,938340,938587,248,310.0,15.085120766295573,48.571414126457476,6.451612903225807,155.0,13.08131601598901,31.899404888524796,134.39515438837546,4.664080337051086
34,948783,949123,341,426.25,13.841812827607189,34.47144073587063,9.411764705882353,106.25,11.433024664943186,39.77368942521243,170.93511175754483,5.885107062635226
35,1013940,1014145,206,257.5,15.400741070970309,32.38737342389298,7.766990291262136,128.75,10.341476345770703,40.852652220182044,143.97504341008104,3.95119579606624
36,1023558,1023797,240,300.0,17.844528205349597,42.33514383377038,6.666666666666667,150.0,10.87657338761093,36.22856465288032,141.3269601966902,5.339769136851598
37,1116376,1116550,175,218.75,15.351648682484754,30.173990897117957,9.195402298850574,108.75,9.566142569348894,33.83304940430187,157.3237147760709,3.344483907164178
38,1161361,1161840,480,600.0,17.110854676310044,54.72902482352345,6.666666666666667,150.0,9.868740205347576,44.02100747253044,192.3435891991736,10.25975855924398
39,1232851,1233002,152,190.0,22.84599523961764,44.171330466193645,10.526315789473685,95.0,13.995862899199292,24.504516865767776,101.5140221063231,4.3276964061863215
40,1243268,1243423,156,195.0,17.531744537320478,36.471945583656165,10.256410256410255,97.50000000000001,9.614165501462034,36.84501088657834,139.494947532524,3.401941108193313
41,1259777,1259981,205,256.25,21.294394158468098,42.17001135805405,7.8431372549019605,127.5,11.871623722291265,31.67686658883014,136.56376773450708,5.429687044207022
42,1307527,1307737,211,263.75,19.016407505076796,42.937468100484885,7.619047619047619,131.25,9.69264626980936,47.254898296955815,163.15271712908208,5.003446320713067
43,1379583,1379780,198,247.5,17.84801684835315,40.62725866095659,8.080808080808081,123.74999999999999,8.320851347187437,48.552311428564686,164.60025777999255,4.4071878769208075
44,1379904,1380271,368,460.0,21.52437633313773,39.6383135491703,8.695652173913043,115.0,12.792073776607518,18.63692360169361,81.80806701608833,9.886878817115166
45,1415511,1415762,252,315.0,17.044006638693435,38.74904850381119,6.349206349206349,157.5,11.483100806695424,32.73380170680768,128.955359238772,5.353992239539188
46,1425123,1425250,128,160.0,27.331580646322145,41.32146704628445,12.5,80.0,17.393456942299935,30.082637679810446,114.27276287843857,4.336763502557132
47,1432140,1432323,184,230.0,14.07364942029085,30.94287011261117,8.695652173913043,115.0,8.477242734530371,34.62687654480011,123.4966679786087,3.22557412942484
48,1491087,1491389,303,378.75,18.6935180408979,37.84796695245141,5.298013245033113,188.74999999999997,10.491061381458932,28.75774147070445,108.38141555950375,7.071483908524961
49,1497990,1498241,252,315.0,15.944718121178214,36.876424472984496,6.349206349206349,157.5,9.911455557275508,33.929462890398206,138.40135458374948,5.0094006011189265
50,1507614,1507941,328,410.0,19.870634891792374,39.15791582776055,19.51219512195122,51.25,9.56273286435198,29.796992049105334,128.2797173104915,8.135620632756158
51,1705108,1705312,205,256.25,18.22526935026126,35.46789011249032,23.52941176470588,42.5,10.712518099265147,24.78457364352457,108.3046732615649,4.6571415996488
